KRT12	GO:0005198
TAS2R38	GO:0033038
TAS2R38	GO:0050909
CAFA-T2R12	GO:0001580
CAFA-T2R12	GO:0004930
CAFA-T2R12	GO:0007186
CAFA-T2R12	GO:0016020
CAFA-T2R12	GO:0033038
CAFA-T2R12	GO:0050909
TAS2R7	GO:0001580
TAS2R7	GO:0004930
TAS2R7	GO:0007186
TAS2R7	GO:0016020
TAS2R7	GO:0033038
TAS2R7	GO:0050909
CAFA-T2R67	GO:0001580
CAFA-T2R67	GO:0004930
CAFA-T2R67	GO:0007186
CAFA-T2R67	GO:0016020
CAFA-T2R67	GO:0050909
CAFA-T2R2	GO:0001580
CAFA-T2R2	GO:0004930
CAFA-T2R2	GO:0007186
CAFA-T2R2	GO:0016020
CAFA-T2R2	GO:0033038
CAFA-T2R2	GO:0050909
TAS2R1	GO:0001580
TAS2R1	GO:0004930
TAS2R1	GO:0007186
TAS2R1	GO:0016020
TAS2R1	GO:0033038
TAS2R1	GO:0050909
TAS2R5	GO:0001580
TAS2R5	GO:0004930
TAS2R5	GO:0007186
TAS2R5	GO:0016020
TAS2R5	GO:0033038
TAS2R5	GO:0050909
CAFA-T2R43	GO:0001580
CAFA-T2R43	GO:0004930
CAFA-T2R43	GO:0007186
CAFA-T2R43	GO:0016020
CAFA-T2R43	GO:0033038
CAFA-T2R43	GO:0050909
HMGA2	GO:0000785
HMGA2	GO:0003677
HMGA2	GO:0003712
HMGA2	GO:0005634
HMGA2	GO:0006355
ZAP70	GO:0004715
ZAP70	GO:0005102
ZAP70	GO:0005524
ZAP70	GO:0005737
ZAP70	GO:0006468
ZAP70	GO:0007169
ZAP70	GO:0030154
ZAP70	GO:0031234
ZAP70	GO:0035556
ZAP70	GO:0045087
CDKN2A	GO:0000079
CDKN2A	GO:0004861
CDKN2A	GO:0005634
CDKN2A	GO:0008285
CDKN2A	GO:0019901
MPHOSPH8	GO:0005515
MPHOSPH8	GO:0005634
MPHOSPH8	GO:0005737
SLC30A1	GO:0005385
SLC30A1	GO:0005783
SLC30A1	GO:0005794
SLC30A1	GO:0006882
SLC30A1	GO:0010312
SLC30A1	GO:0016020
SLC30A1	GO:0019855
SLC30A1	GO:0071577
EIF2AK1	GO:0004672
EIF2AK1	GO:0005524
EIF2AK1	GO:0006468
IL31	GO:0005125
IL31	GO:0005126
IL31	GO:0005615
SELENOI	GO:0004307
SELENOI	GO:0005789
SELENOI	GO:0005794
SELENOI	GO:0006646
SELENOV	GO:0005829
SELENOV	GO:0010269
SELENOH	GO:0005794
DEFB105A	GO:0005576
DEFB105A	GO:0045087
LRP5	GO:0017147
LRP5	GO:0042813
LRP5	GO:0060070
GDF9	GO:0005125
GDF9	GO:0005576
GDF9	GO:0005615
GDF9	GO:0008083
GDF9	GO:0030509
GDF9	GO:0060395
SLC17A6	GO:0005313
SLC17A6	GO:0005326
SLC17A6	GO:0006820
SLC17A6	GO:0030672
SLC17A6	GO:0035249
SLC17A6	GO:0050803
SLC17A6	GO:0055085
SLC17A6	GO:0060076
SLC17A6	GO:0098700
SPAG11B	GO:0005576
SPAG11B	GO:0061844
SPAG11E	GO:0005576
SPAG11E	GO:0061844
KLK9	GO:0004252
KLK9	GO:0006508
RBM12	GO:0003723
RBM12	GO:0005654
RBM12	GO:0043484
RBM12	GO:1990904
TLR10	GO:0002224
TLR10	GO:0004888
TLR10	GO:0006954
TLR10	GO:0006955
TLR10	GO:0016020
TLR10	GO:0035663
TLR10	GO:0071221
TLR10	GO:0071723
TAAR4	GO:0001594
TAAR4	GO:0001662
TAAR4	GO:0007186
TAAR4	GO:0007635
TAAR4	GO:0016020
TAAR4	GO:1990080
LOC100499480	GO:0005737
LOC100499480	GO:0006826
LOC100499480	GO:0006879
LOC100499480	GO:0008198
LOC100499480	GO:0008199
RAN	GO:0000054
RAN	GO:0003924
RAN	GO:0005525
RAN	GO:0005634
RAN	GO:0005737
RAN	GO:0006606
SVIP	GO:0005789
SVIP	GO:0010508
SVIP	GO:1904153
SVIP	GO:1904240
PMAIP1	GO:0001836
PMAIP1	GO:0005739
PMAIP1	GO:0006915
PMAIP1	GO:0006974
IDUA	GO:0003940
IDUA	GO:0005515
IDUA	GO:0005975
SLC1A7	GO:0005313
SLC1A7	GO:0005886
SLC1A7	GO:0015175
SLC1A7	GO:0015501
SLC1A7	GO:0015813
MBOAT4	GO:0005789
MBOAT4	GO:0016412
MBOAT4	GO:0018191
MBOAT4	GO:0030258
EIF4EBP3	GO:0005737
EIF4EBP3	GO:0008190
EIF4EBP3	GO:0045947
JMJD7	GO:0016706
TICAM2	GO:0002735
TICAM2	GO:0019901
TICAM2	GO:0031663
TICAM2	GO:0032816
TICAM2	GO:0035666
TICAM2	GO:0043123
TICAM2	GO:0043330
TICAM2	GO:0051092
TICAM2	GO:1900017
ARHGAP8	GO:0005096
ARHGAP8	GO:0005737
ARHGAP8	GO:0007264
ARHGAP8	GO:2001136
PRR5	GO:0031932
PRR5	GO:0038203
PPAN	GO:0000027
PPAN	GO:0006364
PPAN	GO:0019843
PPAN	GO:0030687
P2RY11	GO:0005886
P2RY11	GO:0007186
P2RY11	GO:0019722
P2RY11	GO:0030594
P2RY11	GO:0045031
P2RY11	GO:0071318
FPGT	GO:0016772
TNNI3K	GO:0004672
TNNI3K	GO:0005515
TNNI3K	GO:0005524
TNNI3K	GO:0006468
STON1	GO:0008021
STON1	GO:0030100
STON1	GO:0030122
STON1	GO:0035615
STON1	GO:0048488
STON1	GO:0072583
GTF2A1L	GO:0005672
GTF2A1L	GO:0006366
GTF2A1L	GO:0006367
GNG10	GO:0005834
GNG10	GO:0007186
GNG10	GO:0031681
UBE2V1	GO:0005634
UBE2V1	GO:0006301
UBE2V1	GO:0070534
TNFSF12	GO:0005164
TNFSF12	GO:0005615
TNFSF12	GO:0006955
TNFSF12	GO:0016020
TNFSF12	GO:0048018
TNFSF13	GO:0005164
TNFSF13	GO:0005615
TNFSF13	GO:0006955
TNFSF13	GO:0016020
TNFSF13	GO:0048018
TNFSF13	GO:0048298
TRIM6	GO:0005515
TRIM6	GO:0008270
TRIM34	GO:0005515
TRIM34	GO:0008270
ADAMTS13	GO:0004222
ADAMTS13	GO:0006508
ADAMTS13	GO:0030198
ADAMTS13	GO:0031012
LOC100682542	GO:0003735
LOC100682542	GO:0005840
LOC100682542	GO:0006412
LOC100682542	GO:0022625
NGLY1	GO:0000224
NGLY1	GO:0005634
NGLY1	GO:0005737
NGLY1	GO:0005829
NGLY1	GO:0006515
NGLY1	GO:0006516
NGLY1	GO:0006517
OR6AA6	GO:0004930
OR6AA6	GO:0004984
OR6AA6	GO:0007186
OR6AA6	GO:0016020
OR4C11K	GO:0004930
OR4C11K	GO:0004984
OR4C11K	GO:0007186
OR4C11K	GO:0016020
LOC100682577	GO:0005759
LOC100682577	GO:0042256
KANK2	GO:0000122
KANK2	GO:0005515
KANK2	GO:0005737
KANK2	GO:0008285
KANK2	GO:0030837
KANK2	GO:0033147
KANK2	GO:0070563
KANK2	GO:2000134
MAST1	GO:0000287
MAST1	GO:0004674
MAST1	GO:0005515
MAST1	GO:0005524
MAST1	GO:0018105
MAST1	GO:0035556
LRRC43	GO:0005515
PTRH2	GO:0004045
PTRH2	GO:0005739
PTRH2	GO:0005829
PTRH2	GO:2000210
PTRH2	GO:2000811
BUB1	GO:0004672
BUB1	GO:0005524
BUB1	GO:0006468
BUB1	GO:0007094
BUB1	GO:0051754
LOC100682600	GO:0004222
LOC100682600	GO:0005886
LOC100682600	GO:0006508
LOC100682600	GO:0008584
LOC100682600	GO:0009897
LOC100682600	GO:1990913
OR6C42	GO:0004930
OR6C42	GO:0004984
OR6C42	GO:0007186
OR6C42	GO:0016020
EXD3	GO:0003676
EXD3	GO:0006139
EXD3	GO:0008408
BEX3	GO:0005102
BEX3	GO:0005737
BEX3	GO:0005829
BEX3	GO:0007165
ALG11	GO:0004377
ALG11	GO:0005789
ALG11	GO:0006487
ZBED6	GO:0003677
ZBED6	GO:0005634
ZBED6	GO:0046983
OR6AA7	GO:0004930
OR6AA7	GO:0004984
OR6AA7	GO:0007186
OR6AA7	GO:0016020
LOC100682654	GO:0000978
LOC100682654	GO:0001228
LOC100682654	GO:0005634
LOC100682654	GO:0006357
SERPIND1	GO:0004867
SERPIND1	GO:0005615
SERPIND1	GO:0007596
SERPIND1	GO:0010951
LOC100682666	GO:0005634
LOC100682666	GO:0010468
LOC100682679	GO:0002181
LOC100682679	GO:0003723
LOC100682679	GO:0003735
LOC100682679	GO:0005840
FUT4	GO:0006486
FUT4	GO:0016020
FUT4	GO:0036065
FUT4	GO:0046920
ZKSCAN4	GO:0000978
ZKSCAN4	GO:0000981
ZKSCAN4	GO:0006357
CABLES1	GO:0005829
CABLES1	GO:0007399
CABLES1	GO:0051726
OR4L1	GO:0004930
OR4L1	GO:0004984
OR4L1	GO:0007186
OR4L1	GO:0016020
EXOC7	GO:0000145
EXOC7	GO:0005546
EXOC7	GO:0006887
LOC100682717	GO:0015078
LOC100682717	GO:0015986
LOC100682717	GO:1902600
OR4S2	GO:0004930
OR4S2	GO:0004984
OR4S2	GO:0007186
OR4S2	GO:0016020
OR51A1	GO:0004930
OR51A1	GO:0004984
OR51A1	GO:0007186
OR51A1	GO:0016020
DYTN	GO:0005886
DYTN	GO:0008270
DYTN	GO:0099536
LOC100682736	GO:0005815
LOC100682736	GO:0005881
LOC100682736	GO:0031110
LOC100682736	GO:0035371
LOC100682736	GO:0051010
LOC100682736	GO:0051225
LOC100682736	GO:0051233
LOC100682736	GO:1904825
LRRN4CL	GO:0005515
LOC100682759	GO:0001580
LOC100682759	GO:0004930
LOC100682759	GO:0007186
LOC100682759	GO:0016020
LOC100682759	GO:0033038
LOC100682759	GO:0050909
GALNT2	GO:0005794
SLC9A4	GO:0006814
SLC9A4	GO:0006885
SLC9A4	GO:0015385
SLC9A4	GO:0016020
SLC9A4	GO:1902600
PIM3	GO:0004674
PIM3	GO:0005524
PIM3	GO:0005737
PIM3	GO:0007346
PIM3	GO:0043066
PIM3	GO:0046777
TMEM91	GO:0016020
TMEM91	GO:0043231
OR2D2	GO:0004930
OR2D2	GO:0004984
OR2D2	GO:0007186
OR2D2	GO:0016020
LOC100682797	GO:0005794
LOC100682797	GO:0005975
LOC100682797	GO:0016020
LOC100682797	GO:0016758
LOC100682797	GO:0031982
LOC100682801	GO:0003723
LOC100682801	GO:0003735
LOC100682801	GO:0022625
LOC100682808	GO:0006606
LOC100682808	GO:0044613
CSRNP3	GO:0000981
CSRNP3	GO:0005634
CSRNP3	GO:0006357
CSRNP3	GO:0043565
LOC100682812	GO:0005762
FAM83G	GO:0005634
FAM83G	GO:0005829
FAM83G	GO:0030509
LOC100682826	GO:0000122
LOC100682826	GO:0005634
ZCWPW2	GO:0005634
ZCWPW2	GO:0008270
LOC100682831	GO:0002181
LOC100682831	GO:0003735
LOC100682831	GO:0005840
LOC100682831	GO:0019843
LOC100682831	GO:0022625
KRT4	GO:0005615
KRT4	GO:0030280
KRT4	GO:0031424
KRT4	GO:0045095
KRT4	GO:0045109
LOC100682834	GO:0005634
LOC100682834	GO:0005654
LOC100682834	GO:0005668
LOC100682834	GO:0006355
TMEM175	GO:0005764
TMEM175	GO:0005768
TMEM175	GO:0015252
TMEM175	GO:0022841
KRBA2	GO:0003676
KRBA2	GO:0015074
C18H11orf24	GO:0005794
HLX	GO:0000981
HLX	GO:0006355
HLX	GO:0043565
LOC100682872	GO:0006487
LOC100682872	GO:0008375
LOC100682875	GO:0005794
LOC100682875	GO:0005975
LOC100682875	GO:0016020
LOC100682875	GO:0016758
LOC100682875	GO:0031982
TNXB	GO:0005515
MLLT11	GO:0005654
MLLT11	GO:0005829
MLLT11	GO:0045893
MLLT11	GO:0051901
MLLT11	GO:0090200
MLLT11	GO:0097190
OR2Z3	GO:0004930
OR2Z3	GO:0004984
OR2Z3	GO:0007186
OR2Z3	GO:0016020
TAS2R8	GO:0001580
TAS2R8	GO:0004930
TAS2R8	GO:0007186
TAS2R8	GO:0016020
TAS2R8	GO:0033038
TAS2R8	GO:0050909
PI4K2B	GO:0004430
PI4K2B	GO:0005765
PI4K2B	GO:0005768
PI4K2B	GO:0005802
PI4K2B	GO:0005886
PI4K2B	GO:0007030
PI4K2B	GO:0007032
PI4K2B	GO:0046854
NPVF	GO:0005102
NPVF	GO:0007218
NPVF	GO:0032277
LOC100682922	GO:0000785
LOC100682922	GO:0003682
LOC100682922	GO:0005634
LOC100682922	GO:0006334
LOC100682922	GO:0042393
FOXR2	GO:0003700
FOXR2	GO:0005634
FOXR2	GO:0006355
FOXR2	GO:1990837
LOC100682940	GO:0019901
LOC100682940	GO:0045737
NKAPL	GO:0003682
NKAPL	GO:0005634
NKAPL	GO:0010468
LLPH	GO:0001099
LLPH	GO:0003723
LLPH	GO:0005730
LLPH	GO:0097484
LOC100682968	GO:0005634
LOC100682968	GO:0006355
ABCB10	GO:0005524
ABCB10	GO:0015421
ABCB10	GO:0016020
ABCB10	GO:0016887
ABCB10	GO:0055085
LOC100682977	GO:0002250
LOC100682977	GO:0002286
LOC100682977	GO:0002323
LOC100682977	GO:0005125
LOC100682977	GO:0005132
LOC100682977	GO:0005576
LOC100682977	GO:0005615
LOC100682977	GO:0006952
LOC100682977	GO:0006959
LOC100682977	GO:0019221
LOC100682977	GO:0030183
LOC100682977	GO:0033141
LOC100682977	GO:0042100
LOC100682977	GO:0043330
ATP6AP2	GO:0009897
ATP6AP2	GO:0016020
ATP6AP2	GO:0030177
ATP6AP2	GO:0038023
GLI2	GO:0000978
GLI2	GO:0000981
GLI2	GO:0005634
GLI2	GO:0006357
GLI2	GO:0007224
RHNO1	GO:0000077
RHNO1	GO:0000725
RHNO1	GO:0005634
RHNO1	GO:0005694
RHNO1	GO:0071479
TOMM20	GO:0005741
TOMM20	GO:0005742
TOMM20	GO:0006605
TOMM20	GO:0008320
TOMM20	GO:0016031
TOMM20	GO:0030150
TOMM20	GO:0030943
ZNF597	GO:0000122
ZNF597	GO:0001227
LY6E	GO:0030550
OR10H4F	GO:0004930
OR10H4F	GO:0004984
OR10H4F	GO:0007186
OR10H4F	GO:0016020
SH2B3	GO:0005068
SH2B3	GO:0005886
SH2B3	GO:0035556
LOC100683019	GO:0005829
LOC100683019	GO:0005854
BSND	GO:0006821
BSND	GO:0016323
BSND	GO:0017081
LOC100683045	GO:0002250
LOC100683045	GO:0002286
LOC100683045	GO:0002323
LOC100683045	GO:0005125
LOC100683045	GO:0005132
LOC100683045	GO:0005576
LOC100683045	GO:0005615
LOC100683045	GO:0006952
LOC100683045	GO:0006959
LOC100683045	GO:0019221
LOC100683045	GO:0030183
LOC100683045	GO:0033141
LOC100683045	GO:0042100
LOC100683045	GO:0043330
ESYT2	GO:0006869
ESYT2	GO:0008289
ESYT2	GO:0061817
ISCA1	GO:0005737
ISCA1	GO:0005739
ISCA1	GO:0016226
ISCA1	GO:0051537
ZNF599	GO:0000978
ZNF599	GO:0000981
ZNF599	GO:0006357
LRRC69	GO:0005515
HYDIN	GO:0003341
HYDIN	GO:0005930
HYDIN	GO:1904158
ABCA17	GO:0005319
ABCA17	GO:0005524
ABCA17	GO:0006869
ABCA17	GO:0016020
ABCA17	GO:0016887
ABCA17	GO:0043231
ABCA17	GO:0055085
ABCA17	GO:0140359
NRARP	GO:0004857
NRARP	GO:0005515
NRARP	GO:0005737
NRARP	GO:0019208
LOC100683076	GO:0006123
OR10H4D	GO:0004930
OR10H4D	GO:0004984
OR10H4D	GO:0007186
OR10H4D	GO:0016020
DEFB132	GO:0005576
DEFB132	GO:0045087
ATP5MJ	GO:0005739
STRN	GO:0005516
STRN	GO:0030425
STRN	GO:0044877
STRN	GO:0051721
STRN	GO:0070016
LOC100683099	GO:0001916
LOC100683099	GO:0002476
LOC100683099	GO:0002486
LOC100683099	GO:0005615
LOC100683099	GO:0006955
LOC100683099	GO:0009897
LOC100683111	GO:0002181
LOC100683111	GO:0003735
LOC100683111	GO:0005840
LOC100683111	GO:0022625
LOC100683112	GO:0000712
LOC100683112	GO:0000727
LOC100683112	GO:0003677
LOC100683112	GO:0005634
LOC100683112	GO:0006308
LOC100683112	GO:0008821
LOC100683112	GO:0031573
LOC100683112	GO:0048257
LOC100683112	GO:0048476
GPR52	GO:0004930
GPR52	GO:0007186
GPR52	GO:0016020
ACY3	GO:0004046
ACY3	GO:0016788
LOC100683141	GO:0004930
LOC100683141	GO:0004984
LOC100683141	GO:0007186
LOC100683141	GO:0016020
ADGRB1	GO:0004930
ADGRB1	GO:0005886
ADGRB1	GO:0007166
ADGRB1	GO:0007186
ADGRB1	GO:0016525
TTC39A	GO:0005515
LDLR	GO:0005509
LDLR	GO:0005515
SLC24A1	GO:0005262
SLC24A1	GO:0006874
SLC24A1	GO:0007601
SLC24A1	GO:0008273
SLC24A1	GO:0016020
SLC24A1	GO:0060291
SLC24A1	GO:0060292
SLC24A1	GO:0070588
MESP2	GO:0000978
MESP2	GO:0000981
MESP2	GO:0001707
MESP2	GO:0003007
MESP2	GO:0005634
MESP2	GO:0006357
MESP2	GO:0032525
MESP2	GO:0046983
THAP2	GO:0005634
OR5AP2	GO:0004930
OR5AP2	GO:0004984
OR5AP2	GO:0005549
OR5AP2	GO:0007186
OR5AP2	GO:0007608
OR5AP2	GO:0016020
HRG	GO:0004867
HRG	GO:0004869
HRG	GO:0005576
HRG	GO:0008201
HRG	GO:0008270
HRG	GO:0010543
HRG	GO:0010951
HRG	GO:0015886
HRG	GO:0036019
HRG	GO:0051918
HRG	GO:0072562
VSIG8	GO:0005622
CENPBD1	GO:0003677
CENPBD1	GO:0005634
PACSIN2	GO:0005515
PACSIN2	GO:0005543
PACSIN2	GO:0005737
PACSIN2	GO:0005768
PACSIN2	GO:0005886
PACSIN2	GO:0030036
PACSIN2	GO:0030100
PACSIN2	GO:0070836
PACSIN2	GO:0097320
PLP2	GO:0016020
LOC100683203	GO:0003924
LOC100683203	GO:0005525
LOC100683203	GO:0005794
IQSEC1	GO:0005085
IQSEC1	GO:0005515
IQSEC1	GO:0030036
IQSEC1	GO:0032012
ZFP90	GO:0000978
ZFP90	GO:0003700
ZFP90	GO:0006357
UQCC2	GO:0005759
UQCC2	GO:0034551
LOC100683222	GO:0015078
LOC100683222	GO:0015986
PPP1R12C	GO:0004857
PPP1R12C	GO:0005737
PPP1R12C	GO:0007165
PPP1R12C	GO:0019208
PPP1R12C	GO:0019901
OR51B9	GO:0004930
OR51B9	GO:0004984
OR51B9	GO:0007186
OR51B9	GO:0016020
GRM3	GO:0001641
GRM3	GO:0007216
GRM3	GO:0016020
GRM3	GO:0051966
LOC100683242	GO:0006486
LOC100683242	GO:0008250
POLI	GO:0003684
POLI	GO:0003887
POLI	GO:0019985
ZFP82	GO:0000977
ZFP82	GO:0000981
ZFP82	GO:0005634
ZFP82	GO:0006357
VSTM5	GO:0005886
VSTM5	GO:0030424
VSTM5	GO:0030425
VSTM5	GO:0046847
VSTM5	GO:1904891
CIT	GO:0000281
CIT	GO:0004674
CIT	GO:0005524
CIT	GO:0005737
CIT	GO:0005856
CIT	GO:0018107
CIT	GO:0031032
VPREB3	GO:0002377
VPREB3	GO:0005615
VPREB3	GO:0006955
LOC100683250	GO:0005615
LOC100683250	GO:0030280
LOC100683250	GO:0031424
LOC100683250	GO:0045095
LOC100683250	GO:0045109
LSAMP	GO:0005886
LSAMP	GO:0007156
LSAMP	GO:0043005
LOC100683263	GO:0003779
LOC100683263	GO:0015629
LOC100683263	GO:0030018
LOC100683263	GO:0031433
LOC100683263	GO:0051373
DAZAP1	GO:0003723
DAZAP1	GO:0005737
ANKUB1	GO:0005515
ZNF239	GO:0000978
ZNF239	GO:0003700
ZNF239	GO:0006357
OR6C2G	GO:0004930
OR6C2G	GO:0004984
OR6C2G	GO:0007186
OR6C2G	GO:0016020
OR6C4	GO:0004930
OR6C4	GO:0004984
OR6C4	GO:0007186
OR6C4	GO:0016020
LOC100683287	GO:0002181
LOC100683287	GO:0003735
LOC100683287	GO:0005840
LOC100683287	GO:0019843
LOC100683287	GO:0022625
MYL7	GO:0005509
MYL7	GO:0005737
MYL7	GO:0030016
MYL7	GO:0048738
MYL7	GO:0060047
SOX14	GO:0000122
SOX14	GO:0000978
SOX14	GO:0000981
SOX14	GO:0009653
SOX14	GO:0030154
SOX14	GO:0045944
DEFB128	GO:0005576
DEFB128	GO:0045087
OR4K6	GO:0004930
OR4K6	GO:0004984
OR4K6	GO:0007186
OR4K6	GO:0016020
PPP1R1C	GO:0004864
PPP1R1C	GO:0005737
PPP1R1C	GO:0035556
RAB21	GO:0003924
RAB21	GO:0005525
RAB21	GO:0032482
ADAM20	GO:0004222
ADAM20	GO:0005886
ADAM20	GO:0006508
ADAM20	GO:0008584
ADAM20	GO:0009897
ADAM20	GO:1990913
OR13C7G	GO:0004930
OR13C7G	GO:0004984
OR13C7G	GO:0007186
OR13C7G	GO:0016020
KRT77	GO:0005615
KRT77	GO:0030280
KRT77	GO:0031424
KRT77	GO:0045095
KRT77	GO:0045109
LOC100683335	GO:0000062
LOC100683335	GO:0005739
LOC100683335	GO:0006631
WTIP	GO:0000932
WTIP	GO:0001666
WTIP	GO:0003714
WTIP	GO:0005634
WTIP	GO:0005667
WTIP	GO:0005912
WTIP	GO:0006355
WTIP	GO:0007010
WTIP	GO:0035331
WTIP	GO:2000637
OR5P5	GO:0004930
OR5P5	GO:0004984
OR5P5	GO:0005549
OR5P5	GO:0007186
OR5P5	GO:0007608
OR5P5	GO:0016020
PFN2	GO:0003779
PFN2	GO:0005737
PFN2	GO:0030036
PFN2	GO:0030833
PFN2	GO:0032233
SPOCD1	GO:0005634
SPOCD1	GO:0006351
LOC100683357	GO:0016233
LOC100683357	GO:0070187
OR6C53	GO:0004930
OR6C53	GO:0004984
OR6C53	GO:0007186
OR6C53	GO:0016020
SVBP	GO:0009306
SVBP	GO:0031397
SVBP	GO:0045177
LOC100683370	GO:0003785
LOC100683370	GO:0005737
LOC100683370	GO:0007015
LOC100683370	GO:0030334
LOC100683373	GO:0000281
LOC100683373	GO:0005730
LOC100683373	GO:0005874
LOC100683373	GO:0007076
LOC100683373	GO:0008017
LOC100683373	GO:0040001
LOC100683373	GO:0072686
LOC100683388	GO:0005802
SCNM1	GO:0005634
SCNM1	GO:0008380
OR5M13C	GO:0004930
OR5M13C	GO:0004984
OR5M13C	GO:0005549
OR5M13C	GO:0007186
OR5M13C	GO:0007608
OR5M13C	GO:0016020
KRT3	GO:0005615
KRT3	GO:0030280
KRT3	GO:0031424
KRT3	GO:0045095
KRT3	GO:0045109
KIF21A	GO:0003777
KIF21A	GO:0005524
KIF21A	GO:0007018
KIF21A	GO:0007052
KIF21A	GO:0008017
LOC100683403	GO:0002223
LOC100683403	GO:0045954
AFF1	GO:0005634
AFF1	GO:0010468
AFF1	GO:0032783
OR6C3I	GO:0004930
OR6C3I	GO:0004984
OR6C3I	GO:0007186
OR6C3I	GO:0016020
ADIRF	GO:0005634
ADIRF	GO:0045600
PDE4DIP	GO:0005815
LAMA2	GO:0005102
LAMA2	GO:0005201
LAMA2	GO:0005604
LAMA2	GO:0007155
LAMA2	GO:0007411
LAMA2	GO:0030155
LAMA2	GO:0030334
LAMA2	GO:0045995
TRIQK	GO:0005789
DNAJB2	GO:0001671
DNAJB2	GO:0005789
DNAJB2	GO:0005829
DNAJB2	GO:0030544
DNAJB2	GO:0032436
DNAJB2	GO:0042026
DNAJB2	GO:0051082
OR6C89	GO:0004930
OR6C89	GO:0004984
OR6C89	GO:0007186
OR6C89	GO:0016020
LOC100683431	GO:0000122
LOC100683431	GO:0001227
GNG5	GO:0005834
GNG5	GO:0007186
GNG5	GO:0031681
E4F1	GO:0000978
E4F1	GO:0003700
E4F1	GO:0006357
ZNF829	GO:0000978
ZNF829	GO:0000981
ZNF829	GO:0006357
OR4K2	GO:0004930
